market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agartala,23.84,91.28,2002,10,25.45,1.87,82.98
Agartala,23.84,91.28,2002,11,22.39,4.08,80.01
Agartala,23.84,91.28,2002,12,18.88,0.7,73.21
Agartala,23.84,91.28,2003,1,16.4,1.44,65.33
Agartala,23.84,91.28,2003,2,20.99,0.63,61.09
Agartala,23.84,91.28,2003,3,24.46,3.72,56.68
Agartala,23.84,91.28,2003,4,28.99,5.06,68.06
Agartala,23.84,91.28,2003,5,29.83,5.37,69.59
Agartala,23.84,91.28,2003,6,28.33,18.48,86.59
Agartala,23.84,91.28,2003,7,28.26,6.04,89.18
Agartala,23.84,91.28,2003,8,28.51,6.05,87.65
Agartala,23.84,91.28,2003,9,27.66,6.67,88.49
Agartala,23.84,91.28,2003,10,26.41,4.61,84.75
Agartala,23.84,91.28,2003,11,21.59,0.38,78.3
Agartala,23.84,91.28,2003,12,18.7,1.23,75.49
Agartala,23.84,91.28,2004,1,17.66,0.15,67.0
Agartala,23.84,91.28,2004,2,20.87,0.23,53.54
Agartala,23.84,91.28,2004,3,26.98,0.69,52.91
Agartala,23.84,91.28,2004,4,28.12,9.55,71.44
Agartala,23.84,91.28,2004,5,29.91,3.76,70.87
Agartala,23.84,91.28,2004,6,28.76,15.29,82.98
Agartala,23.84,91.28,2004,7,27.77,15.26,89.48
Agartala,23.84,91.28,2004,8,27.99,7.16,89.72
Agartala,23.84,91.28,2004,9,27.02,18.76,89.84
Agartala,23.84,91.28,2004,10,24.98,5.79,85.56
Agartala,23.84,91.28,2004,11,21.43,0.04,79.3
Agartala,23.84,91.28,2004,12,19.1,0.05,74.4
Agartala,23.84,91.28,2005,1,17.58,0.13,69.0
Agartala,23.84,91.28,2005,2,22.43,0.42,57.81
Agartala,23.84,91.28,2005,3,27.11,5.24,60.4
Agartala,23.84,91.28,2005,4,28.14,3.99,66.74
Agartala,23.84,91.28,2005,5,28.38,9.9,78.15
Agartala,23.84,91.28,2005,6,28.96,4.74,84.44
Agartala,23.84,91.28,2005,7,28.27,11.73,87.99
Agartala,23.84,91.28,2005,8,28.38,12.02,89.05
Agartala,23.84,91.28,2005,9,27.89,9.2,87.35
Agartala,23.84,91.28,2005,10,25.91,7.6,85.1
Agartala,23.84,91.28,2005,11,21.25,0.08,81.05
Agartala,23.84,91.28,2005,12,18.34,0.03,78.41
